"parameter","var_midden","var_resid","icc"
"quart_50_mean",1007705.88344824,1958115.05955982,0.339773001409243
"quart_75_mean",647801.184115055,1418115.277437,0.31356601110017
"bandw_mean",987460.210899456,2665509.07882548,0.270317139998133
"max_freq_mean",906912.266003351,2611308.51720387,0.257775825306963
"rms",13.6853280762103,39.7602477293683,0.256061009165549
"peak_freq_mean",1340876.71739608,4055962.89701562,0.24845591368241
"peak_ampl_mean",10.5847994152851,34.8057875002246,0.233193711176014
"break_s",5.94323562602181e-06,2.06068660523833e-05,0.223849825436104
"peaktopeak",0.00136151099122008,0.00477957014269053,0.221705423121984
"note_rate",0.727725681826952,3.37374598555777,0.177430381297984
"entropy_mean",0.000395708491600234,0.00186258617172539,0.175224472707872
"call_duration",0.548873934264551,2.63684476644182,0.172292027586381
"no_notes",127.255718848884,627.804079208142,0.168537272380741
"min_freq_mean",10365.5748484783,55363.6086463043,0.157701256844322
"energy",4.42950552392686e-12,3.45065250657127e-11,0.11376366457616
"quart_25_mean",124150.511818219,1069320.53503937,0.104024737043356
"duration",4.34791861236467e-06,7.75974826310164e-05,0.0530587262542188
"disttomax",1.90176588058751e-07,1.34707941189302e-05,0.0139211621295299
